event_id,player_id,position,substitute,home_away,minutes_played,total_pass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,interceptionWon,totalTackle,errorLeadToAShot,ownGoals,wasFouled,fouls,totalOffside,goodHighClaim,savedShotsFromInsideTheBox,saves,touches,rating,possessionLostCtrl,expectedGoals,keyPass
11546278,1140820,G,False,1,90,14,13,6,5,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,,1,16,6.6,2,0,
11546278,1005867,D,False,1,90,43,35,5,4,0,5,1,0,1,1,4,2,1,1,0,0,2,1,0,0,0,2,0,0,,,,48,7.4,12,0,2
11546278,919542,D,False,1,90,50,42,11,7,0,0,0,3,3,5,10,0,1,1,0,0,0,2,1,0,0,4,1,0,,,,63,7.4,12,0,
11546278,919554,D,False,1,90,54,40,11,7,0,0,0,2,0,4,5,0,0,0,0,0,4,1,0,1,0,1,0,0,,,,61,6.9,10,0,
11546278,1004427,D,False,1,90,65,52,14,12,0,6,2,3,2,6,8,0,1,1,0,0,2,4,0,0,0,1,1,0,,,,79,8.1,16,0,
11546278,970733,M,False,1,25,8,7,0,0,0,0,0,1,1,7,3,0,6,2,0,0,0,,0,0,0,0,0,0,,,,15,6.6,3,0,
11546278,919329,M,False,1,90,61,49,5,3,1,3,2,3,2,14,13,2,3,3,0,0,0,5,0,1,0,1,1,0,,,,83,7.9,10,0,3
11546278,970604,M,False,1,75,28,23,3,1,0,0,0,0,2,7,5,0,2,2,0,0,0,2,0,0,0,0,3,0,,,,34,7,8,0,1
11546278,1170317,M,False,1,90,35,23,2,2,0,6,2,3,0,15,12,0,9,4,1,0,0,,1,1,0,1,1,0,,,,65,7.9,18,0.36,
11546278,1140963,F,False,1,75,18,14,0,0,0,0,0,6,7,12,9,1,0,0,0,0,1,,0,0,0,2,0,0,,,,25,7.1,12,0.16,1
11546278,1474715,F,False,1,90,20,17,1,1,0,2,1,10,8,18,14,1,3,2,2,1,0,,0,0,0,3,1,0,,,,41,7.8,12,0.98,
11546278,915760,M,True,1,78,24,20,1,0,1,4,2,3,1,8,4,0,3,2,0,0,0,,0,0,0,1,1,0,,,,36,7.1,3,0,2
11546278,1545327,M,True,1,28,7,5,4,2,0,1,1,2,0,3,1,0,0,0,0,0,1,,0,0,0,0,0,0,,,,9,6.7,2,0,
11546278,1416350,F,True,1,28,2,2,0,0,0,0,0,1,1,2,3,0,1,1,2,1,0,,0,0,0,1,0,0,,,,10,7.7,1,0.58,
11546278,919690,D,True,1,10,3,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,4,6.7,1,0,1
11546278,1140944,G,True,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11546278,1503267,D,True,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11546278,1502274,D,True,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11546278,1401964,M,True,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11546278,1545326,F,True,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11546278,919551,G,False,2,90,22,16,11,5,0,0,0,0,1,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,1,2,3,26,6.8,6,0,
11546278,970834,D,False,2,90,39,31,9,5,0,1,0,2,3,6,10,3,0,0,0,0,5,3,1,1,0,0,0,0,,,,48,6.9,15,0.02,
11546278,1401904,D,False,2,90,38,33,5,4,0,0,0,4,3,10,7,0,0,0,0,0,3,3,1,0,0,0,3,0,,,,46,6.9,2,0,
11546278,1461307,D,False,2,90,32,26,4,1,0,0,0,10,6,17,8,0,1,1,0,0,6,2,3,0,0,0,0,0,,,,43,7.3,4,0,
11546278,359282,D,False,2,90,19,11,4,0,0,1,0,3,1,9,1,0,0,0,1,0,4,1,0,0,0,0,1,0,,,,28,6.5,14,0.04,
11546278,1473502,M,False,2,90,64,52,9,5,0,0,0,4,3,19,7,2,0,0,0,0,1,2,0,0,0,3,3,0,,,,78,7,13,0.02,3
11546278,1008280,M,False,2,90,51,46,4,3,0,0,0,2,3,13,6,2,2,2,0,0,8,3,2,0,0,0,1,0,,,,64,7.1,11,0,
11546278,1401965,M,False,2,90,17,13,1,1,0,1,0,5,1,18,7,1,4,3,0,0,0,,1,0,0,1,1,0,,,,38,6.6,12,0.12,
11546278,1461306,M,False,2,13,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,1,0,,,,4,6.5,0,0,
11546278,1140863,M,False,2,71,17,10,1,0,0,2,0,1,1,5,3,2,0,0,1,1,1,1,0,0,0,0,2,0,,,,23,7.1,10,0.24,
11546278,1475207,F,False,2,90,23,18,0,0,0,0,0,4,3,14,5,0,0,0,0,0,4,,0,0,0,2,2,0,,,,40,6.5,14,0,
11546278,1401967,F,True,2,83,42,33,5,2,0,1,1,3,3,15,8,1,3,2,0,0,1,,0,0,0,0,2,0,,,,60,6.9,14,0,1
11546278,919654,M,True,2,31,6,6,2,2,0,0,0,0,0,8,1,2,0,0,0,0,2,,2,0,0,1,3,0,,,,10,6.4,2,0,
11546278,1401969,F,True,2,7,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,0,1,0,0,0,0,,,,1,,1,0,
11546278,1140869,G,True,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11546271,1009912,G,False,1,90,10,7,5,2,0,0,0,0,1,0,2,0,0,0,0,0,0,3,0,1,0,1,0,0,1,2,2,13,6.8,3,0,
11546271,919670,D,False,1,90,29,22,5,3,0,4,1,0,1,6,2,0,1,1,0,0,0,,0,0,0,0,1,0,,,,38,6.7,11,0,1
11546271,1140800,D,False,1,90,36,29,13,9,0,0,0,2,1,7,1,2,0,0,0,0,0,1,0,0,0,1,2,0,,,,42,6.7,9,0,
11546271,1140959,D,False,1,90,32,24,10,4,0,0,0,4,12,7,16,1,0,0,1,0,1,,0,0,0,0,1,0,,,,46,7.3,17,0.39,
11546271,919788,D,False,1,90,31,22,8,5,0,3,1,2,2,8,4,0,0,0,0,0,0,2,2,0,0,0,1,0,,,,37,7.1,8,0,1
11546271,1140890,M,False,1,66,23,14,5,1,0,1,1,0,0,2,1,0,0,0,0,0,0,2,0,1,0,0,0,0,,,,27,6.4,6,0,
11546271,1004525,M,False,1,90,37,29,7,4,0,2,1,2,5,7,10,1,0,0,0,0,0,1,0,0,0,1,0,0,,,,52,7.6,11,0.06,2
11546271,1186787,M,False,1,90,27,13,0,0,0,7,3,1,2,7,8,1,4,4,1,1,1,,1,0,0,1,0,1,,,,42,8,14,0.41,2
11546271,1545317,M,False,1,90,19,14,3,1,1,4,1,1,0,8,6,0,4,3,0,0,0,,0,0,0,1,1,2,,,,40,7.2,8,0.76,3
11546271,919623,M,False,1,78,24,15,1,0,0,1,0,0,1,8,4,0,4,1,0,0,1,1,0,0,0,1,0,0,,,,39,6.5,13,0,
11546271,368288,F,False,1,72,17,11,0,0,0,4,1,1,2,9,3,0,2,0,0,0,0,2,0,0,0,0,2,1,,,,33,6.6,9,0.18,1
11546271,1140891,M,True,1,39,16,13,2,1,0,0,0,0,0,4,3,0,3,2,0,0,0,1,0,1,0,0,1,0,,,,26,6.6,5,0,
11546271,933040,M,True,1,33,3,2,0,0,0,1,0,4,2,6,5,0,1,0,0,0,0,,0,0,0,2,1,0,,,,7,6.5,5,0,
11546271,1140874,F,True,1,28,4,3,0,0,0,1,1,0,1,1,4,0,2,2,1,0,0,,0,0,0,0,0,0,,,,11,7.2,3,0.05,1
11546271,1000467,G,True,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11546271,845610,D,True,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11546271,919699,M,True,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11546271,1140899,M,True,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11546271,1013225,F,True,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11546271,1004249,G,False,2,90,10,7,5,3,0,0,0,0,2,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,2,2,3,15,7.3,8,0,
11546271,919771,D,False,2,90,21,12,6,0,0,1,1,2,0,10,2,4,1,1,0,0,7,5,0,1,0,0,0,0,,,,37,6.3,16,0,
11546271,782482,D,False,2,90,26,18,6,4,0,0,0,2,4,5,5,1,0,0,1,0,1,,0,0,0,0,0,0,,,,33,6.8,8,0.19,
