event_id,player_id,is_home,shotType,goalType,player_coordinates_x,player_coordinates_y,player_coordinates_z,situation,bodyPart,goal_mouth_location,goal_mouth_coordinates_x,goal_mouth_coordinates_y,goal_mouth_coordinates_z,xg,xgot,shotTime
11546271,1140959,True,miss,,5,54,0,corner,head,close-high-left,0,56.5,46.7,0.2202,,57
11546271,1140959,True,save,,6,40,0,corner,head,high-left,0,53.7,20.6,0.1731,,39
11546271,1004525,True,miss,,29,68,0,corner,right-foot,close-high-right,0,42,55.7,0.004853,,90
11546271,1004525,True,miss,,11,51,0,regular,head,close-right,0,41.1,19.1,0.03889,,47
11546271,1004525,True,miss,,28,36,0,regular,left-foot,close-high-left,0,55.9,53.2,0.01287,,45
11546271,1004525,True,block,,13,34,0,throw-in-set-piece,right-foot,low-centre,0,50,20,0.005166,,10
11546271,1186787,True,goal,regular,3,45,0,corner,right-foot,low-left,0,52.6,6.6,0.4085,0.7371,90
11546271,1545317,True,miss,,14,42,0,regular,left-foot,close-high,0,52.3,47.9,0.2402,,90
11546271,1545317,True,post,,9,51,0,regular,left-foot,high,0,48.4,39.3,0.3251,,79
11546271,1545317,True,miss,,3,64,0,regular,right-foot,close-right,0,41,31,0.1908,,32
11546271,368288,True,miss,,9,48,0,regular,head,close-right,0,42.9,7.2,0.1623,,30
11546271,368288,True,block,,24,64,0,regular,left-foot,low-centre,0,50,20,0.01527,,3
11546271,1140874,True,save,,11,27,0,regular,right-foot,low-right,0,47.2,6.8,0.04661,,90
11546271,782482,False,save,,4,40,0,regular,head,low-centre,0,49.9,2.9,0.1869,,68
11546271,1008347,False,miss,,8,57,0,regular,head,close-right,0,42.9,3.3,0.147,,36
11546271,1461782,False,miss,,19,60,0,regular,right-foot,close-high-right,0,44,50.6,0.01187,,65
11546271,1013197,False,block,,19,60,0,regular,right-foot,low-centre,0,50,20,0.03089,,71
11546271,1013197,False,miss,,23,43,0,regular,left-foot,close-high,0,54.1,50.5,0.05925,,56
11546271,1013197,False,miss,,31,44,0,regular,right-foot,close-high,0,49,49,0.003293,,45
11546271,1008488,False,miss,,8,23,0,regular,left-foot,close-high-left,0,56.6,59.3,0.04007,,79
11546271,919251,False,miss,,22,45,0,regular,left-foot,close-high-left,0,57.5,57.4,0.04977,,71
11546271,919251,False,miss,,17,46,0,regular,left-foot,close-high,0,48,42.3,0.1659,,17
11546271,1182606,False,save,,6,34,0,regular,left-foot,low-left,0,52.3,10.4,0.1077,,43
11546271,1140799,False,block,,21,16,0,regular,left-foot,low-centre,0,50,20,0.003958,,90
11546271,1182630,False,goal,regular,6,45,0,set-piece,head,low-centre,0,50.9,18.7,0.3013,0.2979,82
