eventId,home_ball_possession,away_ball_possession,home_expected_goals,away_expected_goals,home_total_shots,away_total_shots,home_goalkeeper_saves,away_goalkeeper_saves,home_corner_kicks,away_corner_kicks,home_fouls,away_fouls,home_passes,away_passes,home_tackles,away_tackles,home_free_kicks,away_free_kicks,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_shots_on_target,away_shots_on_target,home_hit_woodwork,away_hit_woodwork,home_shots_off_target,away_shots_off_target,home_blocked_shots,away_blocked_shots,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_attack_through_balls ,away_attack_through_balls,home_touches_in_penalty_area,away_touches_in_penalty_area,home_offsides,away_offsides,home_accurate_passes,away_accurate_passes,home_throw_ins,away_throw_ins,home_final_third_phase_passes,away_final_third_phase_passes,home_long_balls,away_long_balls,home_crosses,away_crosses,home_won_duels,away_won_duels,home_ground_duels,away_ground_duels,home_aerial_duels,away_aerial_duels,home_dribbles,away_dribbles,home_total_tackles,away_total_tackles,home_interceptions,away_interceptions,home_clearances,away_clearances,home_errors_lead_to_a_shot,away_errors_lead_to_a_shot
11546278,56%,44%,2.07,0.45,14,7,1,3,7,1,9,19,432,372,2,10,8,0,0,1,0,0,14,7,2,0,3,3,4,2,10,3,4,4,1,2,22,6,0,0,344,297,36,17,45/70 (64%),19/35 (54%),44/64 (68%),28/55 (50%),12/28 (42%),1/6 (16%),46%,32%,63/129 (49%),36/134 (27%),28/65 (43%),29/67 (43%),24/36 (67%),10/16 (63%),2,10,15,15,11,35,3,2
11546271,54%,46%,1.84,1.11,13,12,2,3,14,2,10,9,308,224,3,0,4,2,1,4,0,0,13,12,1,0,7,7,2,2,10,5,3,7,2,0,25,12,4,5,218,156,31,24,40/57 (70%),23/39 (59%),30/59 (50%),10/40 (25%),10/28 (35%),4/9 (44%),46%,34%,38/101 (38%),34/103 (33%),31/48 (65%),22/59 (37%),13/21 (62%),8/9 (89%),3,0,13,16,3,21,3,2
11546274,46%,54%,1.01,2.29,9,14,3,1,5,2,16,18,320,397,4,7,3,5,0,3,1,0,9,14,0,0,6,7,1,3,5,4,4,10,0,5,12,10,0,4,242,323,16,27,35/57 (61%),38/50 (76%),22/49 (44%),36/60 (60%),2/12 (16%),8/13 (61%),35%,38%,46/146 (32%),48/141 (34%),24/54 (44%),28/55 (51%),17/25 (68%),29/35 (83%),4,7,19,18,5,14,2,1
11546273,63%,37%,0.87,1.60,16,15,3,4,11,5,7,14,575,341,4,3,4,2,1,2,0,0,16,15,0,1,8,6,4,3,7,10,9,5,4,0,31,18,2,2,488,251,31,18,50/69 (72%),27/45 (60%),27/53 (50%),24/42 (57%),8/22 (36%),7/18 (38%),40%,35%,52/137 (38%),48/140 (34%),20/39 (51%),14/37 (38%),23/30 (77%),20/29 (69%),4,3,15,21,17,26,6,5
11546276,37%,63%,0.32,1.10,3,8,2,0,2,3,14,21,338,623,7,7,1,3,3,6,1,0,3,8,0,0,2,2,0,1,3,6,0,2,0,4,,,1,3,272,552,19,19,,,36/50 (72%),15/35 (42%),0/11 (0%),4/12 (33%),42%,40%,64/162 (40%),63/162 (39%),24/45 (53%),21/45 (47%),18/25 (72%),20/29 (69%),7,7,38,33,16,16,,
11546272,63%,37%,2.31,0.11,22,2,1,4,6,2,17,8,669,332,1,4,1,0,1,1,0,1,22,2,0,0,10,1,6,0,14,1,8,1,9,1,37,1,0,0,594,274,16,12,83/95 (87%),12/27 (44%),26/42 (61%),32/58 (55%),8/32 (25%),0/2 (0%),44%,27%,53/131 (40%),38/138 (28%),19/32 (59%),9/32 (28%),29/35 (83%),7/18 (39%),1,4,12,23,12,25,,
11546275,58%,42%,1.77,0.63,21,7,2,2,13,3,13,11,465,335,1,0,3,4,2,2,0,0,21,7,0,0,7,0,10,5,9,2,12,5,2,1,22,9,1,0,398,271,21,24,44/53 (83%),21/29 (72%),20/31 (64%),26/47 (55%),10/25 (40%),5/11 (45%),46%,31%,56/137 (41%),35/102 (34%),33/53 (62%),11/43 (26%),31/43 (72%),14/21 (67%),1,0,18,24,27,11,1,5
11560291,76%,24%,0.85,1.60,9,7,0,4,9,3,10,13,754,223,5,5,4,0,2,5,0,0,9,7,0,0,4,5,1,0,6,7,3,0,5,2,18,11,1,2,665,161,39,9,67/85 (79%),23/37 (62%),39/56 (69%),21/46 (45%),7/20 (35%),6/10 (60%),37%,32%,43/123 (35%),37/125 (30%),15/32 (47%),15/33 (45%),13/24 (54%),7/8 (88%),5,5,15,14,7,25,3,2
11561397,50%,50%,1.63,0.77,12,9,4,2,7,5,16,16,327,316,6,8,1,4,3,4,0,0,12,9,0,0,6,3,4,2,11,4,1,5,2,3,,,4,1,245,238,28,28,,,24/49 (48%),30/49 (61%),9/17 (52%),2/14 (14%),38%,40%,64/197 (32%),80/197 (41%),36/65 (55%),27/65 (42%),13/28 (46%),22/28 (79%),6,8,54,47,17,18,,
11561420,43%,57%,0.72,1.10,6,11,4,1,3,6,12,15,272,363,2,10,5,8,3,2,0,0,6,11,0,1,4,2,0,4,4,4,2,7,0,1,9,9,2,3,196,280,19,31,21/42 (50%),40/57 (70%),23/44 (52%),33/53 (62%),1/5 (20%),6/21 (28%),33%,38%,21/84 (25%),37/112 (33%),26/57 (46%),28/58 (48%),3/6 (50%),15/21 (71%),2,10,17,8,16,9,2,1
