player_id,shortName,currentTeamId,position,jerseyNumber,height,preferredFoot,gender,country,dateOfBirth,contractUntil,proposedMarketValue
1007546,Y. Bouzok,41757,M,26,175,Right,M,Algeria,1996-08-18 01:00:00,2025-06-30 01:00:00,2100000
1401589,A. Zouhzouh,24394,M,10,172,Right,M,Morocco,2000-08-11 01:00:00,,1500000
1140869,M. Saber,170588,G,,184,Right,M,Morocco,1997-01-29 01:00:00,,53000
797021,A. Ennafati,41757,M,77,180,Right,M,Morocco,1994-06-29 01:00:00,,1100000
1401592,A. E. Khayati,24394,G,1,198,Right,M,Morocco,1998-01-31 01:00:00,,180000
1140885,M. Harrar,41757,G,22,186,Right,M,Morocco,2000-11-30 01:00:00,2027-06-30 01:00:00,145000
919489,M. R. Hrimat,24394,M,34,186,Right,M,Morocco,1994-08-07 01:00:00,2027-06-30 01:00:00,1700000
970755,M. Maftah,80395,G,22,190,Right,M,Morocco,1993-08-10 01:00:00,2027-06-30 01:00:00,380000
879567,B. Benachour,87180,G,72,178,,M,Morocco,1994-09-08 01:00:00,,145000
1459304,S. Amar,36268,M,29,172,Right,M,Mauritania,1998-12-31 01:00:00,2026-06-30 01:00:00,290000
978955,Y. E. Fahli,24394,M,7,182,Right,M,Morocco,1997-04-27 01:00:00,,720000
1015212,L. Dahdouh,297607,F,87,178,Right,M,Morocco,2000-02-25 01:00:00,,145000
1874639,A. Ziani,80395,F,88,167,Right,,Morocco,2003-05-16 01:00:00,,
1140859,H. Igamane,2351,F,29,181,Right,M,Morocco,2002-11-02 01:00:00,2029-06-30 01:00:00,1700000
1461412,H. Bahaj,55025,D,17,180,Right,M,Morocco,1997-05-23 01:00:00,,470000
1014435,Z. Marour,305260,D,4,182,Left,M,Morocco,1995-03-19 00:00:00,,675000
1008621,I. Khafi,23480,F,99,183,Both,M,Morocco,1995-09-19 01:00:00,,545000
1525290,A. Cherkaoui,118816,G,,184,Right,M,Morocco,1996-11-17 01:00:00,,93000
919329,A. Harmach,241802,M,8,176,Right,M,Morocco,1993-01-16 01:00:00,,640000
970586,A. Hilali,55027,G,90,182,Right,M,Morocco,1990-01-04 01:00:00,2026-06-30 01:00:00,190000
1476706,K. Ourkane,24394,M,8,179,Right,M,Morocco,2000-04-22 01:00:00,2027-06-30 01:00:00,515000
919677,Y. A. Allah,6910,D,18,176,Left,M,Morocco,1995-03-02 01:00:00,2025-06-30 01:00:00,2100000
970819,H. Boulacsout,41757,D,27,179,Both,M,Morocco,1998-09-23 01:00:00,2026-06-30 01:00:00,845000
1212072,R. Ghanimi,55027,G,1,189,,M,Morocco,2002-02-25 01:00:00,,23000
796155,S. Bougrine,41757,M,34,173,Right,M,Morocco,1996-07-10 01:00:00,2025-06-30 01:00:00,820000
1004427,O. Jerrari,55043,M,13,177,Left,M,Morocco,1994-11-14 01:00:00,,585000
1474715,M. Bourika,2452,F,99,190,Right,M,Morocco,2000-01-14 01:00:00,2027-06-30 01:00:00,580000
307470,A. Zniti,41757,G,1,182,Right,M,Morocco,1988-10-28 01:00:00,2025-06-30 01:00:00,955000
919753,M. Fakhr,263373,G,1,175,Right,M,Morocco,1989-02-11 01:00:00,2025-06-30 01:00:00,220000
855858,H. Boussefiane,24394,M,23,176,Right,M,Morocco,1998-01-09 01:00:00,,280000
782542,H. E. Moussaoui,80395,D,19,181,Left,M,Morocco,1993-04-07 00:00:00,2026-06-30 01:00:00,930000
919712,Y. Jabrane,32525,M,37,187,Right,M,Morocco,1991-06-18 01:00:00,2025-06-30 01:00:00,1300000
1619134,D. El-Jabli,55035,D,32,187,Right,M,Morocco,1998-03-27 00:00:00,,180000
919486,N. Zerhouni,41757,F,11,173,Left,M,Morocco,1995-09-14 01:00:00,2025-06-30 01:00:00,655000
919583,A. Nanah,188763,F,8,182,Right,M,Morocco,1992-11-12 01:00:00,2025-07-30 01:00:00,720000
972816,M. W. Bencherifa,87180,D,31,180,Left,M,Algeria,1988-11-06 01:00:00,2025-06-30 01:00:00,165000
1463237,B. Abyir,55039,G,61,,,M,Morocco,1998-08-27 01:00:00,,24000
1009912,K. K. Alaoui,55037,G,1,192,,M,Morocco,1996-06-28 01:00:00,2026-06-30 01:00:00,620000
1170317,I. Riahi,80395,M,18,178,Right,M,Morocco,2000-07-27 01:00:00,2027-06-30 01:00:00,440000
1140872,M. Moufid,36268,D,2,172,Right,M,Morocco,2000-01-12 01:00:00,,825000
919761,L. Naji,24394,M,13,183,Right,M,Morocco,1990-12-14 01:00:00,,605000
919633,A. Moudden,55027,D,3,185,Right,M,Morocco,1997-12-22 01:00:00,,365000
973404,E. H. Kane,69322,M,80,187,Right,M,Senegal,1996-12-19 01:00:00,2027-06-30 01:00:00,405000
919532,Y. Labhiri,80395,M,17,178,Right,M,Morocco,1994-07-13 01:00:00,2025-06-30 01:00:00,765000
919484,Y. Belammari,41757,D,17,183,Left,M,Morocco,1998-09-20 01:00:00,2026-06-30 01:00:00,1300000
971021,I. Mokadem,241802,D,,176,Right,M,Morocco,1995-07-26 01:00:00,,960000
1140828,A. Dairani,36268,D,13,191,Both,M,Morocco,1996-01-01 01:00:00,2027-06-30 01:00:00,465000
1404071,Z. Laafsa,170588,G,61,185,Right,M,Morocco,1999-04-11 00:00:00,2025-06-30 01:00:00,410000
