team_id,team_name,team_slug,team_short_name,team_name_code,team_image
41757,Raja Club Athletic,raja-club-athletic,Raja CA,RCA,https://api.sofascore.app/api/v1/team/41757/image
24394,AS FAR Rabat,as-far-rabat,AS FAR,FAR,https://api.sofascore.app/api/v1/team/24394/image
80395,RS Berkane,rs-berkane,RS Berkane,RSB,https://api.sofascore.app/api/v1/team/80395/image
55037,Olympic Safi,olympic-safi,OC Safi,OLY,https://api.sofascore.app/api/v1/team/55037/image
36268,Wydad Casablanca,wydad-casablanca,WAC,WAC,https://api.sofascore.app/api/v1/team/36268/image
118834,Union Touarga Sport,union-touarga-sport,Union Touarga,TOU,https://api.sofascore.app/api/v1/team/118834/image
55039,Hassania d'Agadir,hassania-dagadir,HUSA,HAS,https://api.sofascore.app/api/v1/team/55039/image
55027,Fath Union Sport,fath-union-sport,FUS Rabat,FUS,https://api.sofascore.app/api/v1/team/55027/image
55049,Moghreb Tétouan,moghreb-tetouan,MA Tétouan,MOT,https://api.sofascore.app/api/v1/team/55049/image
263373,Renaissance Zemamra,renaissance-zemamra,Renaissance Zemamra,ZEM,https://api.sofascore.app/api/v1/team/263373/image
55035,MAS de Fès,mas-de-fes,MAS,MAG,https://api.sofascore.app/api/v1/team/55035/image
297607,Jeunesse Sportive Soualem,jeunesse-sportive-soualem,JS Soualem,SOU,https://api.sofascore.app/api/v1/team/297607/image
170588,MC Oujda,mc-oujda,Oujda,MOO,https://api.sofascore.app/api/v1/team/170588/image
87180,Ittihad Tanger,ittihad-tanger,Ittihad Tanger,ITT,https://api.sofascore.app/api/v1/team/87180/image
327830,SC Chabab Mohammédia,sc-chabab-mohammedia,SCCM,SCC,https://api.sofascore.app/api/v1/team/327830/image
118830,CA Youssoufia Berrechid,ca-youssoufia-berrechid,Youssoufia Berrechid,YOB,https://api.sofascore.app/api/v1/team/118830/image
